Nama Bahan,Kalori,Protein,Lemak,Karbohidrat
"Alpukat, segar",85,0.9,6.5,7.7
"Anggur hutan, segar",30,0.5,0.2,6.8
"Apel malang, segar",57,0.5,0.4,12.8
"Apel, segar",58,0.3,0.4,14.9
"Arbai, segar",37,0.8,0.5,8.3
"Belimbing, segar",36,0.4,0.4,8.8
"Buah naga merah, segar",71,1.7,3.1,9.1
"Buah naga putih, segar",56,0.8,1.0,10.9
"Duku, segar",63,1.0,0.2,16.1
"Durian, segar",149,2.5,3.0,21.5
"Jambu air, segar",46,0.6,0.2,11.8
Jambu biji,64,0.9,0.3,12.2
Jambu bj putih tdk brbj,61,0.9,0.3,15.4
"Jambu bol, segar",49,2.3,0.2,9.6
"Jambu monyet, segar",49,0.7,0.6,15.8
"Jeruk bali, segar",48,0.6,0.2,12.4
"Jeruk banjar, segar",61,0.8,0.2,14.1
"Jeruk manis, segar",45,0.9,0.2,11.2
"Jeruk nipis, segar",44,0.5,0.2,10.0
"Jeruk ragi, segar",49,0.7,0.2,11.1
"Kedondong masak, segar",46,1.0,0.1,10.3
"Kedondong, segar",47,0.5,0.2,10.4
"Kelapa muda, daging, segar",68,1.0,0.9,14.0
"Lemon, segar",34,0.5,0.8,6.2
"Lontar, segar",27,0.4,0.2,6.0
"Mangga, segar",52,0.7,0.0,12.3
"Mangga benggala, segar",63,2.4,0.4,12.4
"Mangga gedung, segar",44,0.7,0.2,11.2
"Mangga golek, segar",63,0.5,0.2,16.7
"Mangga harumanis, segar",46,0.4,0.2,11.9
"Mangga indramayu, segar",72,0.8,0.2,18.7
"Mangga kopek, segar",56,0.4,0.2,14.6
"Mangga kwini, segar",86,0.7,0.5,19.8
"Mangga manalagi, segar",133,1.0,0.1,32.1
"Mangga muda, segar",59,0.5,0.4,15.1
"Manggis, segar",63,0.6,0.6,15.6
"Markisa, segar",144,3.5,1.2,29.8
"Melon, segar",37,0.6,0.4,7.8
"Menteng, segar",65,1.7,0.3,16.1
"Nanas palembang, segar",58,0.7,0.2,13.3
"Nanas, segar",40,0.6,0.3,9.9
"Nangka masak pohon, segar",106,1.2,0.3,27.6
"Pepaya, segar",46,0.5,0.1,12.2
"Pisang ambon, segar",108,1.0,0.8,24.3
"Pisang ayam, segar",120,1.1,0.2,26.8
"Pisang hijau, segar",121,1.0,0.1,28.9
"Pisang kepok, segar",109,0.8,0.5,26.3
"Pisang lampung, segar",99,1.3,0.2,25.6
"Pisang mas, segar",127,1.4,0.2,33.6
"Pisang raja sereh, segar",108,1.3,0.3,28.2
"Pisang raja, segar",120,1.2,0.2,31.8
"Pisang uli, segar",134,1.1,0.5,35.5
"Rambutan binjai, segar",76,0.5,0.2,18.0
"Rambutan, segar",69,0.9,0.1,18.1
"Salak bali, segar",57,0.5,0.1,13.6
"Salak medan, segar",55,0.4,0.2,12.8
"Salak pondoh, segar",87,0.8,0.4,20.1
"Salak, segar",77,0.4,,20.9
"Semangka, segar",28,0.5,0.2,6.9
"Sirsak, segar",65,1.0,0.3,16.3
"Srikaya, segar",63,1.1,0.5,13.9
"Sukun muda, segar",119,1.4,0.2,28.1
"Sukun tua, segar",126,1.6,0.2,24.5
