Nama Bahan,Kalori,Protein,Lemak,Karbohidrat
"Ayam, ampela, goreng",270,32.3,11.2,9.9
"Ayam, usus, goreng",473,45.2,26.3,13.9
"Bebek, daging, goreng",300,24.0,20.7,4.5
"Sapi, abon",212,18.0,10.6,59.3
"Sapi, abon, asli",358,14.6,16.1,38.6
"Sapi, daging, asap",182,32.0,6.0,0.0
"Sapi, daging, kornet",289,16.0,25.0,0.0
"Sapi, paru, goreng",268,23.9,12.7,14.5
"Ayam goreng kalasan, paha",275,37.4,12.2,1.3
"Ayam goreng pasundan, dada",246,37.9,9.0,0.7
"Ayam goreng pasundan, paha",245,33.1,11.4,0.3
"Ayam goreng sukabumi, dada",244,36.7,9.2,1.0
"Ayam goreng sukabumi, paha",283,35.7,14.3,0.5
"Ayam taliwang, masakan",264,18.2,20.1,2.7
Beef burger,258,10.6,9.5,32.5
"Beef teriyaki, masakan",151,8.6,3.1,22.3
"Beef yakiniku, masakan",132,9.8,1.1,20.7
"Bulgogi, masakan",72,11.4,4.9,1.4
"Chicken teriyaki, masakan",168,13.0,9.6,7.5
"Coto mangkasara, kuda, masakan",96,6.8,5.9,3.8
"Coto mangkasara, sapi, masakan",84,6.0,6.0,1.4
"Empal (daging) Goreng, masakan",248,36.2,6.9,10.1
Gulai kambing,126,4.2,9.4,6.2
"Rawon, masakan",60,5.4,2.5,4.0
"Rendang sapi, masakan",193,22.6,7.9,7.8
"Sop buntut, masakan",71,7.5,3.6,2.2
"Sop daging sapi, masakan",49,5.8,0.5,5.3
"Sop kaki sapi, masakan",68,9.0,1.9,3.7
"Sop kambing, masakan",34,5.5,0.8,1.1
"Sop konro, masakan",71,7.4,2.6,4.5
"Soto bandung, masakan",42,3.9,1.7,2.8
"Soto banjar, masakan",110,2.9,9.5,3.2
"Soto betawi, masakan",135,2.5,8.8,11.5
"Soto jeroan, masakan",92,11.8,4.3,1.4
"Soto kudus, masakan",38,2.6,2.3,1.8
"Soto madura, masakan",60,3.5,4.5,1.3
"Soto padang, masakan",127,5.9,6.6,11.0
"Soto pekalongan, masakan",94,3.0,6.8,5.1
"Soto pemalang, masakan",75,3.6,5.2,3.5
"Soto sukaraja, masakan",80,3.2,3.5,9.0
"Soto sulung, masakan",86,2.3,8.5,0.0
"Sukiyaki, masakan",75,5.6,0.4,12.2
