Nama Bahan,Kalori,Protein,Lemak,Karbohidrat
"Kacang belimbing, rebus",204,16.9,8.8,17.5
"Kacang bogor, goreng",479,12.7,23.2,58.9
"Kacang bogor, rebus",161,7.7,2.8,27.1
"Kacang gude, rebus",147,9.0,0.5,27.5
"Kacang hijau, rebus",109,8.7,0.5,18.3
"Kacang kedelai, goreng",521,32.2,37.7,22.9
"Kacang kedelai, rebus",189,20.2,8.2,12.7
"Kacang merah kering, rebus",158,10.3,0.9,28.2
"Kacang merah segar, rebus",144,10.0,1.0,24.7
"Kacang mete/biji jambu monyet, goreng",629,20.4,56.3,19.8
Kacang tanah rebus dg kulit,360,13.5,31.2,12.8
"Kacang tanah, goreng",564,25.5,44.4,25.5
"Kacang tanah, rebus",220,10.6,18.0,8.0
"Kacang tolo, rebus",138,10.7,1.1,22.6
Ampas kacang hijau,96,3.7,0.6,19.1
"Ampas tahu, mentah",67,5.0,2.1,8.1
Ampas tahu kukus,75,4.1,2.1,10.7
Pepea oncom ampas tahu,76,5.2,1.8,10.6
Emping (kerupuk melinjo),300,12.0,1.5,61.0
Kembang tahu rebus,90,10.7,4.0,4.7
Keripik oncom,598,8.3,43.8,42.6
Keripik tempe,581,12.1,40.6,41.7
Kwaci,515,30.6,42.1,13.8
Rempeyek kacang tanah,513,17.5,32.5,44.3
Rempeyek kacang tolo,451,11.2,20.2,59.7
Rempeyek kacang uci,497,17.0,27.6,50.8
Susu kedelai,41,3.5,2.5,5.0
"Tahu, mentah",80,10.9,4.7,0.8
Tahu goreng,115,9.7,8.5,2.5
"Tempe kedelai murni, goreng",350,24.5,26.6,10.4
