Nama Bahan,Kalori,Protein,Lemak,Karbohidrat
Nasi,180,3.0,0.3,39.8
Nasi tim,120,2.4,0.4,26.0
Nasi beras merah,149,2.8,0.4,32.5
Bihun goreng instan,381,6.1,3.9,80.3
Nasi jagung,357,8.8,0.5,79.5
"Jagung kuning muda, rebus",142,5.0,0.7,30.3
"Jagung kuning pipil, rebus",154,3.8,3.5,28.4
Ketupat ketan,212,4.0,4.6,38.6
"Ketan hitam, matang",181,4.0,1.2,37.3
"Ketan putih, matang",163,3.0,0.4,35.7
Roti putih,248,8.0,1.2,50.0
"Ubi jalar, kuning, kukus",100,0.7,0.3,23.8
Ubi jalar tinta/kemayung kukus,165,0.9,0.2,39.8
