Nama Bahan,Kalori,Protein,Lemak,Karbohidrat
"Bayam, kukus",30,1.3,0.7,5.8
"Bayam, rebus",23,1.2,0.6,3.7
"Buncis, rebus",30,2.2,0.2,6.4
"Daun kacang panjang, kukus",40,3.7,0.3,8.0
"Daun katuk, rebus",53,5.3,0.9,9.1
"Daun kelor, rebus",61,6.1,0.9,10.0
"Daun mengkudu, kukus",63,3.8,1.5,11.5
"Daun singkong, rebus",31,3.7,0.6,4.8
"Daun talas, rebus",27,1.3,0.2,5.9
"Daun ubi merah, kukus",56,3.1,0.3,13.0
"Kacang panjang, kukus",39,3.0,0.6,7.6
"Kacang panjang, rebus",30,2.3,0.4,5.8
"Kangkung, kukus",30,3.2,0.7,4.7
"Kangkung, rebus",22,2.5,0.6,3.1
"Paria putih, kukus",16,0.8,0.2,3.4
"Selada, rebus",19,2.7,0.2,2.9
"Taoge, goreng",88,3.2,2.1,14.0
"Taoge, seduh",28,3.0,0.8,4.0
"Terung panjang, kukus",23,1.8,0.1,4.9
"Wortel, rebus",28,0.7,0.5,6.3
"Wortel, kukus",37,1.0,0.6,8.3
"Asinan Bogor, sayuran",98,3.9,2.6,14.8
"Cap cai, sayur",97,5.8,6.3,4.2
Gado-gado,137,6.1,3.2,21.0
"Gudeg, sayur",160,3.3,9.2,16.0
Gulai pakis,143,4.0,11.4,6.0
Gulai pliek,176,7.3,14.9,3.2
"Karedok, sayur",92,2.2,3.3,14.1
Pelecing kangkung,75,2.5,2.8,10.0
Rujak cingur,153,11.3,8.4,8.0
Sayur asem,29,0.7,0.6,5.0
Sayur bunga pepaya,49,1.7,0.3,9.8
Sayur sop,27,1.3,2.0,1.0
Semur jengkol,212,6.0,10.0,29.1
Tumis bayam bersantan,48,1.4,4.2,2.6
